inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-2926;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2927;923;994;1000;595.262;344.091;1634.76;425.091;6.08949;0.705057;5.54567;31.4005;35;B
gen-2928;989;991;1000;368.712;297.078;517.212;418.578;5.42385;1.20621;5.16741;28.0275;991;B
gen-2929;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2930;793;977;1000;752.087;396.564;3546.59;707.064;6.29367;0.842169;5.54878;31.8066;3;B
gen-2931;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2932;1000;1000;1000;214.804;102.61;214.804;102.61;4.86733;1.20157;4.22742;18.8138;999;B
gen-2933;690;910;1000;945.836;615.983;5130.84;1830.98;6.61925;0.627151;6.1144;38.1585;14;B
gen-2934;1000;1000;1000;169.463;96.832;169.463;96.832;4.8044;0.664019;4.35734;19.4292;998;A
gen-2935;481;793;1000;1157.54;828.309;8164.04;3622.81;6.91892;0.378118;6.47471;42.5767;2;B
gen-2936;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2937;225;338;1000;1325.99;1194.27;11788.5;10131.3;7.10543;0.260997;6.90016;48.2371;3;B
gen-2938;998;1000;1000;242.661;129.586;269.661;129.586;5.07763;0.889933;4.47578;20.8264;990;B
gen-2939;849;991;1000;754.558;366.779;2793.06;488.279;6.36376;0.644859;5.6354;32.3525;11;B
gen-2940;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2941;995;1000;1000;260.491;153.005;327.991;153.005;5.01092;1.27507;4.49941;21.3812;982;B
gen-2942;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2943;1000;1000;1000;134.141;74.747;134.141;74.747;4.46397;0.979846;3.94728;16.3753;999;A
